rank,ticker,tradability_score,binary_score,score_liq,pass_liq,score_stab,pass_stab,score_spread,pass_spread,score_range,pass_range,score_vol,pass_vol,median_dollar_vol,cv_dollar_vol,cs_spread,range_median,vol_median,flags
729,KROS,46.2,4,68.30065359477125,1,33.04738562091504,1,23.8562091503268,0,64.25653594771242,1,41.299019607843135,1,7583579,0.8597,0.007529,0.0369,0.3931,WIDE_SPREAD|FAT_TAIL
730,BRW,46.2,4,22.875816993464053,1,32.92483660130719,1,74.4281045751634,1,13.071895424836603,0,87.82679738562092,1,1435434,0.8635,0.002679,0.0113,0.1044,FAT_TAIL
731,CEVA,46.1,4,64.37908496732027,1,25.98039215686274,1,43.709150326797385,0,72.58986928104575,1,23.8562091503268,1,6715688,0.9874,0.005303,0.041,0.5132,WIDE_SPREAD|NO_SIGNAL|FAT_TAIL
732,PEO,46.1,4,19.852941176470587,1,36.76470588235294,1,73.48856209150327,1,17.320261437908496,0,83.08823529411764,1,1222905,0.8093,0.002807,0.0153,0.1535,FAT_TAIL
733,PUMP,45.9,4,84.31372549019608,1,22.22222222222222,1,21.486928104575163,0,82.59803921568627,1,19.0359477124183,1,14763602,1.0695,0.008084,0.0505,0.5606,WIDE_SPREAD
734,GAIN,45.9,4,31.699346405228756,1,42.81045751633987,1,53.67647058823529,1,17.197712418300654,0,83.90522875816994,1,2041544,0.7549,0.004419,0.0151,0.1431,OK
735,BKT,45.9,4,17.72875816993464,1,27.85947712418301,1,85.45751633986927,1,3.63562091503268,0,94.85294117647058,1,1106614,0.94,0.001778,0.0064,0.0691,NO_SIGNAL
736,DSP,45.8,4,36.43790849673202,1,74.30555555555556,1,17.075163398692805,0,79.90196078431373,1,21.405228758169937,1,2368607,0.5586,0.009098,0.0471,0.532,WIDE_SPREAD|FAT_TAIL
737,FCBC,45.8,4,24.836601307189543,1,60.29411764705883,1,39.583333333333336,0,40.114379084967325,1,63.9297385620915,1,1515973,0.6353,0.005612,0.0255,0.2686,WIDE_SPREAD
738,MHD,45.8,4,19.934640522875817,1,24.428104575163403,1,84.80392156862744,1,6.495098039215687,0,93.38235294117648,1,1228618,1.0113,0.001821,0.0077,0.0746,FAT_TAIL
739,SSTK,45.7,4,51.633986928104584,1,60.7843137254902,1,23.202614379084963,0,67.11601307189542,1,25.653594771241828,1,4350093,0.634,0.007641,0.0384,0.4991,WIDE_SPREAD
740,GAM,45.7,4,15.849673202614378,1,38.807189542483655,1,69.0359477124183,1,14.910130718954248,0,89.95098039215686,1,1010149,0.7921,0.003209,0.0127,0.0934,OK
741,FRPH,45.5,4,20.751633986928105,1,75.2859477124183,1,29.575163398692805,0,28.431372549019606,1,73.44771241830065,1,1272156,0.5534,0.00673,0.0218,0.2294,WIDE_SPREAD
742,WSBF,45.5,4,10.049019607843137,0,61.51960784313726,1,54.575163398692816,1,25.204248366013072,1,75.98039215686273,1,676377,0.6275,0.004318,0.0206,0.215,LOW_LIQ
743,ZVRA,45.4,4,70.66993464052288,1,24.50980392156863,1,32.51633986928104,0,77.49183006535948,1,21.65032679738562,1,8371506,1.0099,0.006336,0.0449,0.5308,WIDE_SPREAD|NO_SIGNAL|FAT_TAIL
744,TDAY,45.3,4,63.48039215686274,1,36.192810457516345,1,20.179738562091497,0,71.11928104575163,1,35.62091503267973,1,6516921,0.8182,0.008545,0.0401,0.4251,WIDE_SPREAD|NO_SIGNAL
